>> svd_
图像大小384×512
奇异值选取数    压缩率        误差    
     1         0.46%     28.315503%
     2         0.91%     19.033932%
     3         1.37%     15.281929%
     4         1.83%     12.050932%
     5         2.29%     10.245337%
     6         2.75%     8.709941%
     7         3.22%     7.496597%
     8         3.68%     6.857119%
     9         4.14%     6.001584%
    10         4.61%     5.610483%
    11         5.07%     5.147456%
    12         5.54%     4.777670%
    13         6.01%     4.544091%
    14         6.48%     4.120333%
    15         6.95%     3.871986%
    16         7.42%     3.704244%
    17         7.89%     3.352213%
    18         8.37%     3.203314%
    19         8.84%     2.953501%
    20         9.32%     2.826792%
    21         9.79%     2.688300%
    22         10.27%     2.574216%
    23         10.75%     2.439405%
    24         11.23%     2.329125%
    25         11.71%     2.231279%
    26         12.19%     2.146010%
    27         12.68%     2.035620%
    28         13.16%     1.956865%
    29         13.64%     1.881219%
    30         14.13%     1.820343%
    31         14.62%     1.729070%
    32         15.10%     1.653577%
    33         15.59%     1.597664%
    34         16.08%     1.557503%
    35         16.57%     1.518162%
    36         17.07%     1.466681%
    37         17.56%     1.434702%
    38         18.05%     1.405027%
    39         18.55%     1.347654%
    40         19.04%     1.323933%
    41         19.54%     1.276205%
    42         20.04%     1.243423%
    43         20.54%     1.207657%
    44         21.04%     1.180157%
    45         21.54%     1.132302%
    46         22.04%     1.119206%
    47         22.54%     1.092732%
    48         23.05%     1.063721%
    49         23.55%     1.044450%
    50         24.06%     1.008946%
    51         24.57%     0.997599%
    52         25.07%     0.977349%
    53         25.58%     0.947382%
    54         26.09%     0.922808%
    55         26.60%     0.904543%
    56         27.12%     0.888841%
    57         27.63%     0.876792%
    58         28.14%     0.864189%
    59         28.66%     0.843833%
    60         29.17%     0.822435%
    61         29.69%     0.807475%
    62         30.21%     0.793680%
    63         30.73%     0.784028%
    64         31.25%     0.764698%
    65         31.77%     0.750732%
    66         32.29%     0.742650%
    67         32.82%     0.728952%
    68         33.34%     0.710609%
    69         33.87%     0.698979%
    70         34.39%     0.683989%
    71         34.92%     0.670589%
    72         35.45%     0.660554%
    73         35.98%     0.646242%
    74         36.51%     0.632035%
    75         37.04%     0.627319%
    76         37.57%     0.613402%
    77         38.11%     0.608357%
    78         38.64%     0.599933%
    79         39.18%     0.589902%
    80         39.71%     0.580287%
    81         40.25%     0.567733%
    82         40.79%     0.556541%
    83         41.33%     0.552040%
    84         41.87%     0.541666%
    85         42.41%     0.532340%
    86         42.95%     0.523456%
    87         43.50%     0.514306%
    88         44.04%     0.506493%
    89         44.59%     0.498922%
    90         45.14%     0.492770%
    91         45.68%     0.485296%
    92         46.23%     0.479055%
    93         46.78%     0.474200%
    94         47.33%     0.468184%
    95         47.88%     0.461084%
    96         48.44%     0.456820%
    97         48.99%     0.450129%
    98         49.55%     0.442746%
    99         50.10%     0.435077%
    100         50.66%     0.430163%
    101         51.22%     0.426153%
    102         51.78%     0.415855%
    103         52.34%     0.409779%
    104         52.90%     0.404688%
    105         53.46%     0.400680%
    106         54.02%     0.396197%
    107         54.59%     0.390676%
    108         55.15%     0.383847%
    109         55.72%     0.378432%
    110         56.28%     0.374329%
    111         56.85%     0.369514%
    112         57.42%     0.363204%
    113         57.99%     0.359251%
    114         58.56%     0.355229%
    115         59.14%     0.350395%
    116         59.71%     0.346668%
    117         60.28%     0.339589%
    118         60.86%     0.336176%
    119         61.43%     0.333164%
    120         62.01%     0.326801%
    121         62.59%     0.322572%
    122         63.17%     0.318790%
    123         63.75%     0.313463%
    124         64.33%     0.310299%
    125         64.91%     0.307182%
    126         65.50%     0.304120%
    127         66.08%     0.299442%
    128         66.67%     0.297426%
    129         67.25%     0.293620%
    130         67.84%     0.290478%
    131         68.43%     0.286941%
    132         69.02%     0.282826%
    133         69.61%     0.278880%
    134         70.20%     0.276477%
    135         70.79%     0.272352%
    136         71.39%     0.268868%
    137         71.98%     0.265310%
    138         72.58%     0.261521%
    139         73.17%     0.260173%
    140         73.77%     0.256389%
    141         74.37%     0.254203%
    142         74.97%     0.250542%
    143         75.57%     0.247605%
    144         76.17%     0.245549%
    145         76.77%     0.241718%
    146         77.38%     0.239189%
    147         77.98%     0.238449%
    148         78.59%     0.235423%
    149         79.20%     0.233552%
    150         79.80%     0.230822%
    151         80.41%     0.228890%
    152         81.02%     0.225272%
    153         81.63%     0.223151%
    154         82.24%     0.222314%
    155         82.86%     0.219098%
    156         83.47%     0.217126%
    157         84.09%     0.212729%
    158         84.70%     0.211221%
    159         85.32%     0.208898%
    160         85.94%     0.205239%
    161         86.56%     0.203940%
    162         87.18%     0.201570%
    163         87.80%     0.198136%
    164         88.42%     0.196698%
    165         89.04%     0.195606%
    166         89.67%     0.193551%
    167         90.29%     0.192240%
    168         90.92%     0.190372%
    169         91.55%     0.189060%
    170         92.17%     0.186635%
    171         92.80%     0.184543%
    172         93.43%     0.182849%
    173         94.06%     0.181524%
    174         94.70%     0.179837%
    175         95.33%     0.178353%
    176         95.96%     0.176318%
    177         96.60%     0.174376%
    178         97.24%     0.173157%
    179         97.87%     0.172127%
    180         98.51%     0.168726%
    181         99.15%     0.167109%
    182         99.79%     0.166038%
